dep;com;insee;potRadon
COTE-D'OR;MARCELLOIS;21377;1
DOUBS;DOMMARTIN;25201;1
NORD;LE QUESNOY;59481;1
HERAULT;BEAUFORT;34026;2
NORD;MASTAING;59391;2
ARIEGE;TOURTOUSE;9313;1
HAUTE-GARONNE;MASCARVILLE;31325;1
HAUTE-SAONE;LA ROCHELLE;70450;1
HAUTE-SAONE;GIREFONTAINE;70269;1
HAUTE-MARNE;GUYONVELLE;52233;1
ALPES-DE-HAUTE-PROVENCE;VAUMEILH;4233;1
NORD;BOULOGNE-SUR-HELPE;59093;1
OISE;REILLY;60528;1
DORDOGNE;ISSIGEAC;24212;1
SAONE-ET-LOIRE;CHASSELAS;71108;1
EURE;LORLEAU;27373;1
MARNE;PLICHANCOURT;51433;1
ARIEGE;VARILHES;9324;1
PAS-DE-CALAIS;TINCQUES;62820;1
SAONE-ET-LOIRE;VARENNES-LES-MACON;71556;1
MOSELLE;KAPPELKINGER;57357;1
DROME;VILLEBOIS-LES-PINS;26374;1
CHER;BUE;18039;1
NORD;MARLY;59383;2
MOSELLE;ORMERSVILLER;57526;1
BOUCHES-DU-RHONE;BELCODENE;13013;2
CALVADOS;MAIZIERES;14394;1
PAS-DE-CALAIS;NIELLES-LES-ARDRES;62614;1
GIRONDE;BAGAS;33024;1
DROME;MARIGNAC-EN-DIOIS;26175;1
ALPES-DE-HAUTE-PROVENCE;ALLEMAGNE-EN-PROVENCE;4004;1
DORDOGNE;SAINT-SEVERIN-D'ESTISSAC;24502;1
AISNE;HARY;2373;1
ISERE;COUR-ET-BUIS;38134;1
SOMME;BIENCOURT;80104;1
CALVADOS;HERMANVILLE-SUR-MER;14325;1
HERAULT;AGONES;34005;2
PAS-DE-CALAIS;TIGNY-NOYELLE;62815;1
DOUBS;SAMSON;25528;1
AISNE;CESSIERES;2153;1
ORNE;GACE;61181;1
SOMME;LONGUEVILLETTE;80491;1
SAONE-ET-LOIRE;BEY;71033;1
SOMME;OMIECOURT;80608;1
MOSELLE;BASSE-RENTGEN;57574;1
LOT-ET-GARONNE;ALLEZ-ET-CAZENEUVE;47006;1
PYRENEES-ATLANTIQUES;CAMOU-CIHIGUE;64162;1
DROME;LE PEGUE;26226;1
SEINE-MARITIME;LA CRIQUE;76193;1
DOUBS;ECHEVANNES;25211;1
EURE;SAINT-GERMAIN-DES-ANGLES;27546;1
ORNE;FRESNAY-LE-SAMSON;61180;1
JURA;CHARENCY;39108;1
DOUBS;SARRAGEOIS;25534;1
EURE;SAINT-PIERRE-DE-BAILLEUL;27589;1
MEURTHE-ET-MOSELLE;FROUARD;54215;2
DOUBS;LE MOUTHEROT;25414;2
PAS-DE-CALAIS;ANZIN-SAINT-AUBIN;62037;1
SEINE-MARITIME;LA HOUSSAYE-BERANGER;76369;1
HAUTES-PYRENEES;ORIGNAC;65338;1
CALVADOS;SAINT-COME-DE-FRESNE;14565;1
CHARENTE-MARITIME;SEMOUSSAC;17424;1
EURE;MEZIERES-EN-VEXIN;27408;1
INDRE-ET-LOIRE;LUBLE;37137;1
LOIRET;ATTRAY;45011;1
EURE;LE BOULAY-MORIN;27099;1
AUBE;MAUPAS;10229;1
CHARENTE;JAVREZAC;16169;1
CHARENTE-MARITIME;LE SEURE;17426;1
PAS-DE-CALAIS;HAMELINCOURT;62406;1
SEINE-ET-MARNE;BRAY-SUR-SEINE;77051;1
HAUTE-SAONE;CREVANS-ET-LA-CHAPELLE-LES-GRANGES;70187;1
HAUTES-PYRENEES;CHEUST;65144;1
GARD;EUZET;30109;1
HAUTE-SAVOIE;ETERCY;74117;1
MOSELLE;GUEBESTROFF;57265;1
OISE;RETHONDES;60534;1
JURA;BRETENIERES;39077;1
MEURTHE-ET-MOSELLE;LUDRES;54328;1
HAUTE-GARONNE;LAVALETTE;31285;1
PYRENEES-ORIENTALES;SAINT-ANDRE;66168;1
MOSELLE;LANEUVEVILLE-LES-LORQUIN;57380;1
SAONE-ET-LOIRE;LUX;71269;1
AUBE;YEVRES-LE-PETIT;10445;1
SOMME;OFFIGNIES;80604;1
HAUTE-SAVOIE;DUINGT;74108;2
ARIEGE;CASTERAS;9083;1
CALVADOS;LES MONCEAUX;14435;1
JURA;LA FAVIERE;39221;1
MOSELLE;SAINT-MEDARD;57621;1
SEINE-ET-MARNE;JUILLY;77241;1
CHER;NOHANT-EN-GRACAY;18167;1
HAUTE-CORSE;SCATA;2B273;2
LOIR-ET-CHER;AREINES;41003;1
MOSELLE;MONTDIDIER;57478;1
LANDES;BASSERCLES;40027;1
DOUBS;HOUTAUD;25309;1
GIRONDE;BASSENS;33032;1
SAVOIE;VOGLANS;73329;2
SEINE-MARITIME;COMPAINVILLE;76185;1
LOT;SAINT-CERE;46251;2
COTE-D'OR;VILLARS-FONTAINE;21688;1
HAUTE-GARONNE;SAUVETERRE-DE-COMMINGES;31535;1
MOSELLE;VILLERS-SUR-NIED;57719;1
AISNE;COUCY-LA-VILLE;2219;1
HAUTES-PYRENEES;JUILLAN;65235;1
HAUT-RHIN;ZIMMERSHEIM;68386;1
AUDE;COUDONS;11101;1
MOSELLE;KERPRICH-AUX-BOIS;57362;1
SEINE-MARITIME;CATENAY;76163;1
EURE-ET-LOIR;LA CHAPELLE-DU-NOYER;28075;1
LOIRET;MONTLIARD;45215;1
GERS;LAMOTHE-GOAS;32188;1
NORD;DEHERIES;59171;1
OISE;BROQUIERS;60110;1
GARD;CARDET;30068;1
HAUT-RHIN;KOESTLACH;68169;1
JURA;MONTMIREY-LA-VILLE;39360;2
OISE;LE PLESSIER-SUR-BULLES;60497;1
RHONE;SAINT-GERMAIN-AU-MONT-D'OR;69207;2
PAS-DE-CALAIS;NEUVIREUIL;62612;1
GARD;BOURDIC;30049;1
OISE;ESPAUBOURG;60220;1
HERAULT;SAUSSAN;34295;1
MORBIHAN;MONTERTELOT;56139;1
VAR;DRAGUIGNAN;83050;1
OISE;LACHELLE;60337;1
OISE;FEIGNEUX;60231;1
LOIRE-ATLANTIQUE;SAINTE-LUCE-SUR-LOIRE;44172;1
GERS;SAINTE-AURENCE-CAZAUX;32363;1
INDRE-ET-LOIRE;MARCILLY-SUR-MAULNE;37146;1
NORD;BEAURIEUX;59062;1
PAS-DE-CALAIS;ESTREELLES;62315;1
ALPES-MARITIMES;LES FERRES;6061;1
DORDOGNE;MOULEYDIER;24296;1
MARNE;CHAMPFLEURY;51115;1
LOIR-ET-CHER;PERIGNY;41174;1
PUY-DE-DOME;REIGNAT;63297;1
SEINE-MARITIME;SAINT-PIERRE-BENOUVILLE;76632;1
CALVADOS;BLONVILLE-SUR-MER;14079;1
MOSELLE;LIEHON;57403;1
COTE-D'OR;LANTILLY;21341;1
YONNE;PERRIGNY;89295;1
HAUTES-PYRENEES;HACHAN;65214;1
JURA;VERTAMBOZ;39556;1
SEINE-MARITIME;LA VAUPALIERE;76728;1
COTES-D'ARMOR;TROGUERY;22383;1
TARN;MONTROSIER;81184;1
GIRONDE;SAINT-GERMAIN-DE-LA-RIVIERE;33414;1
COTE-D'OR;TELLECEY;21624;1
MOSELLE;SCHORBACH;57639;1
BAS-RHIN;LOCHWILLER;67272;1
CALVADOS;SAINT-DENIS-DE-MERE;14572;1
DOUBS;BYANS-SUR-DOUBS;25105;1
HAUTE-GARONNE;BOISSEDE;31072;1
HAUTE-GARONNE;SAINT-LARY-BOUJEAN;31493;1
HAUTE-SAVOIE;VOUGY;74312;1
AISNE;NEUVILLE-SUR-MARGIVAL;2551;1
ARIEGE;CESCAU;9095;1
AISNE;TARTIERS;2736;1
MARNE;BOURGOGNE;51075;1
AUDE;VILLEDAIGNE;11421;1
SEINE-MARITIME;ERMENOUVILLE;76241;1
EURE;SAINT-MARTIN-LA-CAMPAGNE;27570;1
GIRONDE;BLAIGNAC;33054;1
SEINE-MARITIME;RAINFREVILLE;76519;1
SARTHE;PINCE;72236;1
VOSGES;SERECOURT;88455;1
VAUCLUSE;VAISON-LA-ROMAINE;84137;1
JURA;MONTAIGU;39348;1
JURA;VILLARD-SAINT-SAUVEUR;39560;1
CHARENTE-MARITIME;BOUTENAC-TOUVENT;17060;1
VAL-D'OISE;MONTMAGNY;95427;1
HAUTE-SAVOIE;FRANGY;74131;2
HAUTE-MARNE;NEUILLY-SUR-SUIZE;52349;1
MOSELLE;BOUSSEVILLER;57103;1
HAUTE-MARNE;ANNONVILLE;52012;1
CHARENTE;MEDILLAC;16215;1
EURE-ET-LOIR;SAINT-REMY-SUR-AVRE;28359;1
SOMME;GUYENCOURT-SUR-NOYE;80403;1
VOSGES;VAUDEVILLE;88495;1
GERS;SOLOMIAC;32436;1
HAUTE-SAVOIE;MARCELLAZ;74162;1
PAS-DE-CALAIS;SAINT-VENANT;62770;1
PARIS;PARIS-5E-ARRONDISSEMENT;75105;1
VAL-D'OISE;ERAGNY;95218;1
HAUTES-PYRENEES;VILLENAVE-PRES-MARSAC;65477;1
BAS-RHIN;MORSCHWILLER;67304;1
OISE;OGNON;60475;1
DEUX-SEVRES;BOISSEROLLES;79039;1
PAS-DE-CALAIS;BUISSY;62184;1
SAVOIE;VILLARD-SALLET;73316;1
AISNE;DEUILLET;2262;1
HAUTE-GARONNE;CABANAC-SEGUENVILLE;31096;1
TERRITOIRE DE BELFORT;BOTANS;90015;1
AISNE;BONCOURT;2097;1
CHER;OSMERY;18173;1
VIENNE;OUZILLY;86184;1
NORD;PERENCHIES;59457;1
OISE;MONCEAUX-L'ABBAYE;60407;1
ESSONNE;VILLEBON-SUR-YVETTE;91661;1
EURE;BROSVILLE;27118;1
OISE;DAMERAUCOURT;60193;1
VAL-D'OISE;ENGHIEN-LES-BAINS;95210;1
MEURTHE-ET-MOSELLE;BURTHECOURT-AUX-CHENES;54108;1
DROME;MEVOUILLON;26181;1
PAS-DE-CALAIS;HOULLE;62458;1
SEINE-MARITIME;VIBEUF;76737;1
VENDEE;SAINT-MAIXENT-SUR-VIE;85239;1
SEINE-ET-MARNE;JOSSIGNY;77237;1
HAUTES-PYRENEES;BATSERE;65071;1
PYRENEES-ORIENTALES;TORDERES;66211;1
GIRONDE;TALAIS;33521;1
ALLIER;VICQ;3311;2
MEUSE;VILLE-SUR-COUSANCES;55567;1
SOMME;BRUCAMPS;80145;1
HAUTS-DE-SEINE;LEVALLOIS-PERRET;92044;1
COTE-D'OR;BUNCEY;21115;1
ARIEGE;L'AIGUILLON;9003;1
AUBE;ASSENCIERES;10014;1
SEINE-MARITIME;RAFFETOT;76518;1
SOMME;ETREJUST;80297;1
AISNE;SANCY-LES-CHEMINOTS;2698;1
OISE;SAINT-SAMSON-LA-POTERIE;60596;1
HAUTES-PYRENEES;UGNOUAS;65457;1
RHONE;BELMONT-D'AZERGUES;69020;1
SOMME;LAMARONDE;80460;1
GERS;NOULENS;32299;1
GIRONDE;TARNES;33524;1
VOSGES;COURCELLES-SOUS-CHATENOIS;88117;1
MANCHE;LA GOHANNIERE;50206;1
ARIEGE;SAINT-QUIRC;9275;1
MOSELLE;LANDROFF;57379;1
AUDE;MONTSERET;11256;1
COTE-D'OR;BUSSY-LA-PESLE;21121;1
HAUT-RHIN;MITTELWIHR;68209;1
SOMME;LAUCOURT;80467;1
VOSGES;MENIL-SUR-BELVITTE;88301;1
GIRONDE;MARTRES;33275;1
OISE;LE MESNIL-SAINT-FIRMIN;60399;1
ESSONNE;VAUGRIGNEUSE;91634;1
HAUTES-PYRENEES;ESTAMPURES;65170;1
MARNE;SAINT-JEAN-DEVANT-POSSESSE;51489;1
JURA;CRENANS;39179;1
SEINE-MARITIME;BLANGY-SUR-BRESLE;76101;1
SOMME;MESNIL-SAINT-NICAISE;80542;1
TARN-ET-GARONNE;AUTY;82007;1
SOMME;SAUVILLERS-MONGIVAL;80729;1
HAUTE-MARNE;RACHECOURT-SUZEMONT;52413;1
MANCHE;PONTAUBAULT;50408;1
ORNE;SAINT-MARTIN-DES-LANDES;61424;1
ARIEGE;COUTENS;9102;1
YONNE;AISY-SUR-ARMANCON;89004;1
SEINE-ET-MARNE;LE PLESSIS-L'EVEQUE;77366;1
AUDE;MARSA;11219;1
MOSELLE;SAINT-JEAN-ROHRBACH;57615;1
AUDE;PEXIORA;11281;1
ARIEGE;AIGUES-VIVES;9002;1
GARD;FOURNES;30116;1
GARD;CONQUEYRAC;30093;1
AUDE;CONILHAC-DE-LA-MONTAGNE;11097;1
OISE;AVILLY-SAINT-LEONARD;60033;1
PAS-DE-CALAIS;BERNIEULLES;62116;1
ISERE;LA MURETTE;38270;1
AUBE;LA LOGE-POMBLIN;10201;1
HAUTE-SAONE;TARTECOURT;70496;1
SEINE-ET-MARNE;BROU-SUR-CHANTEREINE;77055;1
NORD;CAUROIR;59141;1
GERS;TRAVERSERES;32454;1
GIRONDE;GRIGNOLS;33195;1
JURA;MONTAIN;39349;1
HERAULT;SATURARGUES;34294;1
VAL-D'OISE;LE HEAULME;95303;1
HAUTES-PYRENEES;AYROS-ARBOUIX;65055;1
HAUTE-MARNE;SIGNEVILLE;52473;1
VOSGES;DIGNONVILLE;88133;1
SAONE-ET-LOIRE;VITRY-LES-CLUNY;71587;1
INDRE-ET-LOIRE;LARCAY;37124;1
PAS-DE-CALAIS;MERCATEL;62568;1
GARD;BRAGASSARGUES;30050;1
YONNE;THORY;89415;1
HAUTE-SAONE;AUXON;70044;1
JURA;MATHENAY;39319;1
VAL-DE-MARNE;IVRY-SUR-SEINE;94041;1
HAUT-RHIN;TRAUBACH-LE-BAS;68336;1
CALVADOS;FOULOGNES;14282;1
MOSELLE;JURY;57351;1
OISE;LACHAPELLE-SOUS-GERBEROY;60335;1
JURA;LE PIN;39421;1
CHARENTE;L'ISLE-D'ESPAGNAC;16166;1
CALVADOS;IFS;14341;1
AUDE;TRAUSSE;11396;2
HAUTES-PYRENEES;NOUILHAN;65330;1
MAINE-ET-LOIRE;BROSSAY;49053;1
AUBE;PERIGNY-LA-ROSE;10284;1
HAUTE-SAONE;GRANDECOURT;70274;1
CHARENTE-MARITIME;SAINT-GREGOIRE-D'ARDENNES;17343;1
SOMME;BUSSY-LES-DAOURS;80156;1
SEINE-MARITIME;LES IFS;76371;1
HAUTE-SAVOIE;BLOYE;74035;1
MEURTHE-ET-MOSELLE;MATTEXEY;54356;1
EURE;FEUGUEROLLES;27241;1
HAUTES-PYRENEES;ARRODETS-EZ-ANGLES;65033;1
SEINE-MARITIME;PIERRECOURT;76500;1
AIN;THOISSEY;1420;1
SEINE-ET-MARNE;MONTIGNY-SUR-LOING;77312;1
BAS-RHIN;ROTHBACH;67415;2
NORD;MARQUETTE-LEZ-LILLE;59386;1
COTE-D'OR;PREMIERES;21507;1
ISERE;SAINT-MAXIMIN;38426;1
CHARENTE;BONNEVILLE;16051;1
VAUCLUSE;VALREAS;84138;1
ARIEGE;ALLIAT;9006;1
AUBE;SAINT-PARRES-LES-VAUDES;10358;1
SEINE-MARITIME;BELLENGREVILLE;76071;1
MARNE;LHERY;51321;1
OISE;LALANDE-EN-SON;60343;1
MEUSE;ECOUVIEZ;55169;1
LOT;ESPAGNAC-SAINTE-EULALIE;46093;1
MARNE;THIL;51568;1
MARNE;VOIPREUX;51651;1
SEINE-ET-MARNE;MOUSSY-LE-NEUF;77322;1
HAUTE-GARONNE;MONTASTRUC-SAVES;31359;1
TARN-ET-GARONNE;DONZAC;82049;1
SEINE-MARITIME;LOUVETOT;76398;1
AUBE;SAINT-NICOLAS-LA-CHAPELLE;10355;1
VOSGES;MARONCOURT;88288;1
MEURTHE-ET-MOSELLE;AMENONCOURT;54013;1
JURA;CHAMPDIVERS;39099;1
MOSELLE;RENING;57573;1
OISE;WACQUEMOULIN;60698;1
VAL-D'OISE;FRANCONVILLE;95252;1
GARD;SAINT-GENIES-DE-COMOLAS;30254;1
LOT-ET-GARONNE;PARRANQUET;47200;1
GIRONDE;CAVIGNAC;33114;1
AIN;CURCIAT-DONGALON;1139;1
SARTHE;CHASSILLE;72070;1
HAUTE-MARNE;CERISIERES;52091;1
AUBE;SAINT-BENOIT-SUR-SEINE;10336;1
PYRENEES-ATLANTIQUES;BERROGAIN-LARUNS;64115;1
MOSELLE;REMELFANG;57567;1
SEINE-ET-MARNE;COLLEGIEN;77121;1
SOMME;NEUVILLETTE;80596;1
MARNE;COURLANDON;51187;1
PAS-DE-CALAIS;NORT-LEULINGHEM;62622;1
SOMME;MARIEUX;80514;1
JURA;LES PLANCHES-PRES-ARBOIS;39425;1
VOSGES;HOUECOURT;88241;1
MARNE;CORMOYEUX;51173;1
HAUT-RHIN;NIEDERENTZEN;68234;1
INDRE-ET-LOIRE;CHENONCEAUX;37070;1
PYRENEES-ATLANTIQUES;IGON;64270;1
YVELINES;LES LOGES-EN-JOSAS;78343;1
HAUTE-SAONE;BOUGEY;70078;1
GIRONDE;LOUPIAC-DE-LA-REOLE;33254;1
YONNE;EPINEAU-LES-VOVES;89152;1
MOSELLE;METZERESCHE;57464;1
SEINE-MARITIME;MORTEMER;76454;1
SOMME;BEAUMETZ;80068;1
ARDENNES;BEFFU-ET-LE-MORTHOMME;8056;1
